slug,matching_criteria,new_criteria
get-ready-for-2021-cf439250f6,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""electronic-machinery"",""install-service-repair"",""export-to-eu"",""move-goods-ni"",""export-to-row"",""eu-domain-no"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""move-to-eu-no"",""visiting-driving"",""visiting-ie"",""visiting-eu"",""visiting-row"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""electronic-machinery"",""install-service-repair"",""export-to-eu"",""move-goods-ni"",""export-to-row"",""eu-domain-no"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""move-to-eu-no"",""visiting-driving"",""visiting-ie"",""visiting-eu"",""visiting-row"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
get-ready-for-2021-bdc25e50b6,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""legal-service"",""provide-services-do-business-in-eu"",""eu-domain-no"",""do-not-ip"",""sell-public-sector"",""sell-public-sector-contracts"",""do-not-eu-uk-funding"",""personal-eu-org"",""employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""move-to-eu-no"",""visiting-driving"",""visiting-eu"",""visiting-row"",""travel-eu-business-no"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""legal-service"",""provide-services-do-business-in-eu"",""eu-domain-no"",""do-not-ip"",""sell-public-sector"",""sell-public-sector-contracts"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""move-to-eu-no"",""visiting-driving"",""visiting-eu"",""visiting-row"",""travel-eu-business-no"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
get-ready-for-2021-7bc7c90da5,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""construction"",""renewables"",""import-from-eu"",""export-to-eu"",""haulage-goods-across-eu-borders"",""provide-services-do-business-in-eu"",""move-goods-ni"",""export-to-row"",""trade-developing"",""eu-domain-no"",""ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""move-to-eu-no"",""visiting-driving"",""visiting-ie"",""visiting-eu"",""visiting-row"",""travel-eu-business"",""retired"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""construction"",""renewables"",""import-from-eu"",""export-to-eu"",""haulage-goods-across-eu-borders"",""provide-services-do-business-in-eu"",""move-goods-ni"",""export-to-row"",""trade-developing"",""eu-domain-no"",""ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""move-to-eu-no"",""visiting-driving"",""visiting-ie"",""visiting-eu"",""visiting-row"",""travel-eu-business"",""retired"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
get-ready-for-2021-4186888bc5,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""education"",""accommodation"",""tourism"",""provide-services-do-business-in-eu"",""eu-domain-no"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""move-to-eu-no"",""visiting-eu"",""visiting-row"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""education"",""accommodation"",""tourism"",""provide-services-do-business-in-eu"",""eu-domain-no"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""move-to-eu-no"",""visiting-eu"",""visiting-row"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
get-ready-for-2021-d5b72c85d6,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""air-passenger-freight"",""export-to-row"",""eu-domain"",""ip"",""sell-public-sector"",""eu-uk-funding"",""personal-eu-org"",""employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""visiting-driving"",""visiting-uk"",""working-uk"",""living-row""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""air-passenger-freight"",""export-to-row"",""eu-domain"",""ip"",""sell-public-sector"",""eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""visiting-driving"",""visiting-uk"",""working-uk"",""living-row""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
get-ready-for-2021-1c535dbed7,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""install-service-repair"",""medical-tech"",""import-from-eu"",""eu-domain-no"",""do-not-ip"",""sell-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""move-to-eu-no"",""visiting-eu"",""visiting-row"",""travel-eu-business"",""working-uk"",""retired"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""install-service-repair"",""medical-tech"",""import-from-eu"",""eu-domain-no"",""do-not-ip"",""sell-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""move-to-eu-no"",""visiting-eu"",""visiting-row"",""travel-eu-business"",""working-uk"",""retired"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
get-ready-for-2021-3db00d97df,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""electronic-machinery"",""install-service-repair"",""consumer-goods"",""metal"",""import-from-eu"",""export-to-eu"",""haulage-goods-across-eu-borders"",""export-to-row"",""eu-domain-no"",""ip"",""ip-designs"",""ip-patents"",""ip-exhaustion-rights"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""move-to-eu-no"",""visiting-driving"",""visiting-eu"",""visiting-row"",""travel-eu-business"",""working-uk"",""working-eu"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""electronic-machinery"",""install-service-repair"",""consumer-goods"",""metal"",""import-from-eu"",""export-to-eu"",""haulage-goods-across-eu-borders"",""export-to-row"",""eu-domain-no"",""ip"",""ip-designs"",""ip-patents"",""ip-exhaustion-rights"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""move-to-eu-no"",""visiting-driving"",""visiting-eu"",""visiting-row"",""travel-eu-business"",""working-uk"",""working-eu"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
get-ready-for-2021-11cf3f1fe8,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""aero-space"",""automotive"",""electronic-machinery"",""construction"",""defence"",""oil-gas-coal"",""medical-tech"",""import-from-eu"",""export-to-eu"",""haulage-goods-across-eu-borders"",""provide-services-do-business-in-eu"",""export-to-row"",""trade-developing"",""eu-domain-no"",""ip"",""ip-trade-marks"",""ip-designs"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""move-to-eu-no"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""aero-space"",""automotive"",""electronic-machinery"",""construction"",""defence"",""oil-gas-coal"",""medical-tech"",""import-from-eu"",""export-to-eu"",""haulage-goods-across-eu-borders"",""provide-services-do-business-in-eu"",""export-to-row"",""trade-developing"",""eu-domain-no"",""ip"",""ip-trade-marks"",""ip-designs"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""move-to-eu-no"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
get-ready-for-2021-ad821a6b9a,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""automotive"",""import-from-eu"",""eu-domain"",""do-not-ip"",""do-not-sell-to-public-sector"",""eu-uk-funding"",""personal-eu-org"",""employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""visiting-driving"",""visiting-eu"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-eu""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""automotive"",""import-from-eu"",""eu-domain"",""do-not-ip"",""do-not-sell-to-public-sector"",""eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""visiting-driving"",""visiting-eu"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-eu""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
get-ready-for-2021-a527fd7088,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""charity"",""voluntary"",""health"",""medical-tech"",""provide-services-do-business-in-eu"",""trade-developing"",""eu-domain-no"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""return-to-uk"",""visiting-row"",""living-driving-eu"",""retired"",""living-eu"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""charity"",""voluntary"",""health"",""medical-tech"",""provide-services-do-business-in-eu"",""trade-developing"",""eu-domain-no"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""return-to-uk"",""visiting-row"",""living-driving-eu"",""retired"",""living-eu"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
get-ready-for-2021-e03ba8ff0f,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""retail-wholesale-x-food-drink-motors"",""import-from-eu"",""export-to-eu"",""eu-domain-no"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""move-to-eu-no"",""travel-eu-business-no"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""retail-wholesale-x-food-drink-motors"",""import-from-eu"",""export-to-eu"",""eu-domain-no"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""move-to-eu-no"",""travel-eu-business-no"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
get-ready-for-2021-3178bcd44d,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""automotive"",""rail-manufacture"",""construction"",""defence"",""consumer-goods"",""metal"",""import-from-eu"",""export-to-eu"",""haulage-goods-across-eu-borders"",""provide-services-do-business-in-eu"",""move-goods-ni"",""export-to-row"",""eu-domain-no"",""ip"",""ip-designs"",""sell-public-sector"",""sell-public-sector-contracts"",""sell-defence-contracts"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""move-to-eu-no"",""visiting-driving"",""visiting-row"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""automotive"",""rail-manufacture"",""construction"",""defence"",""consumer-goods"",""metal"",""import-from-eu"",""export-to-eu"",""haulage-goods-across-eu-borders"",""provide-services-do-business-in-eu"",""move-goods-ni"",""export-to-row"",""eu-domain-no"",""ip"",""ip-designs"",""sell-public-sector"",""sell-public-sector-contracts"",""sell-defence-contracts"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""move-to-eu-no"",""visiting-driving"",""visiting-row"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
get-ready-for-2021-436aa479d2,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""automotive"",""electronic-machinery"",""metal"",""import-from-eu"",""haulage-goods-across-eu-borders"",""trade-developing"",""eu-domain-no"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""move-to-eu-no"",""visiting-driving"",""visiting-eu"",""visiting-row"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""automotive"",""electronic-machinery"",""metal"",""import-from-eu"",""haulage-goods-across-eu-borders"",""trade-developing"",""eu-domain-no"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""move-to-eu-no"",""visiting-driving"",""visiting-eu"",""visiting-row"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
get-ready-for-2021-dd629f646b,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""aero-space"",""electronic-machinery"",""install-service-repair"",""defence"",""electricity"",""nuclear"",""renewables"",""medical-tech"",""consumer-goods"",""metal"",""non-metal-material"",""research"",""import-from-eu"",""export-to-eu"",""haulage-goods-across-eu-borders"",""provide-services-do-business-in-eu"",""export-to-row"",""eu-domain-no"",""ip"",""ip-copyright"",""ip-designs"",""sell-public-sector"",""sell-public-sector-contracts"",""sell-defence-contracts"",""eu-uk-funding"",""personal-eu-org"",""employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""move-to-eu-no"",""visiting-driving"",""visiting-ie"",""visiting-eu"",""visiting-row"",""travel-eu-business-no"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""aero-space"",""electronic-machinery"",""install-service-repair"",""defence"",""electricity"",""nuclear"",""renewables"",""medical-tech"",""consumer-goods"",""metal"",""non-metal-material"",""research"",""import-from-eu"",""export-to-eu"",""haulage-goods-across-eu-borders"",""provide-services-do-business-in-eu"",""export-to-row"",""eu-domain-no"",""ip"",""ip-copyright"",""ip-designs"",""sell-public-sector"",""sell-public-sector-contracts"",""sell-defence-contracts"",""eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""move-to-eu-no"",""visiting-driving"",""visiting-ie"",""visiting-eu"",""visiting-row"",""travel-eu-business-no"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
get-ready-for-2021-83a03e8380,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""chemical"",""import-from-eu"",""export-to-eu"",""haulage-goods-across-eu-borders"",""export-to-row"",""eu-domain-no"",""do-not-ip"",""do-not-sell-to-public-sector"",""eu-uk-funding"",""personal-eu-org"",""employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""join-family-uk-no"",""visiting-driving"",""visiting-uk"",""working-uk"",""working-eu"",""living-eu"",""nationality-eu""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""chemical"",""import-from-eu"",""export-to-eu"",""haulage-goods-across-eu-borders"",""export-to-row"",""eu-domain-no"",""do-not-ip"",""do-not-sell-to-public-sector"",""eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""join-family-uk-no"",""visiting-driving"",""visiting-uk"",""working-uk"",""working-eu"",""living-eu"",""nationality-eu""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
get-ready-for-2021-9bed23d591,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""automotive"",""forestry"",""personal-service"",""charity"",""environment"",""creative"",""insurance"",""health"",""telecoms"",""chemical"",""public-administration"",""education"",""export-to-row"",""eu-domain-no"",""ip"",""ip-copyright"",""sell-public-sector"",""sell-public-sector-contracts"",""eu-uk-funding"",""personal-eu-org"",""employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""family-eu"",""visiting-driving"",""visiting-row"",""travel-eu-business"",""working-uk"",""retired"",""living-uk"",""nationality-row""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""automotive"",""forestry"",""personal-service"",""charity"",""environment"",""creative"",""insurance"",""health"",""telecoms"",""chemical"",""public-administration"",""education"",""export-to-row"",""eu-domain-no"",""ip"",""ip-copyright"",""sell-public-sector"",""sell-public-sector-contracts"",""eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""family-eu"",""visiting-driving"",""visiting-row"",""travel-eu-business"",""working-uk"",""retired"",""living-uk"",""nationality-row""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
get-ready-for-2021-9548ef416f,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""automotive"",""personal-service"",""eu-domain-no"",""ip"",""ip-copyright"",""sell-public-sector"",""sell-public-sector-contracts"",""eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""join-family-uk-yes"",""visiting-row"",""working-uk"",""studying-eu"",""living-eu"",""nationality-eu""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""automotive"",""personal-service"",""eu-domain-no"",""ip"",""ip-copyright"",""sell-public-sector"",""sell-public-sector-contracts"",""eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""join-family-uk-yes"",""visiting-row"",""working-uk"",""studying-eu"",""living-eu"",""nationality-eu""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
get-ready-for-2021-8334e64255,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""construction"",""retail-wholesale-x-food-drink-motors"",""import-from-eu"",""export-to-eu"",""provide-services-do-business-in-eu"",""move-goods-ni"",""eu-domain-no"",""ip"",""ip-copyright"",""ip-designs"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""move-to-eu-no"",""visiting-driving"",""visiting-ie"",""visiting-eu"",""visiting-row"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""construction"",""retail-wholesale-x-food-drink-motors"",""import-from-eu"",""export-to-eu"",""provide-services-do-business-in-eu"",""move-goods-ni"",""eu-domain-no"",""ip"",""ip-copyright"",""ip-designs"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""move-to-eu-no"",""visiting-driving"",""visiting-ie"",""visiting-eu"",""visiting-row"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
get-ready-for-2021-6fbcd5170b,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""construction"",""import-from-eu"",""eu-domain-no"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""move-to-eu-no"",""visiting-ie"",""visiting-eu"",""visiting-row"",""travel-eu-business-no"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""construction"",""import-from-eu"",""eu-domain-no"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""move-to-eu-no"",""visiting-ie"",""visiting-eu"",""visiting-row"",""travel-eu-business-no"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
get-ready-for-2021-537f070942,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""import-from-eu"",""export-to-eu"",""move-goods-ni"",""export-to-row"",""eu-domain-no"",""do-not-ip"",""sell-public-sector"",""sell-public-sector-contracts"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""move-to-eu-no"",""travel-eu-business-no"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""import-from-eu"",""export-to-eu"",""move-goods-ni"",""export-to-row"",""eu-domain-no"",""do-not-ip"",""sell-public-sector"",""sell-public-sector-contracts"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""move-to-eu-no"",""travel-eu-business-no"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
get-ready-for-2021-9e315c06c0,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""creative"",""consumer-goods"",""export-to-eu"",""provide-services-do-business-in-eu"",""export-to-row"",""eu-domain-no"",""ip"",""ip-trade-marks"",""ip-designs"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""move-to-eu-no"",""visiting-driving"",""visiting-bring-pet"",""visiting-ie"",""visiting-eu"",""visiting-row"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""creative"",""consumer-goods"",""export-to-eu"",""provide-services-do-business-in-eu"",""export-to-row"",""eu-domain-no"",""ip"",""ip-trade-marks"",""ip-designs"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation-uk"",""owns-operates-business-organisation"",""move-to-eu-no"",""visiting-driving"",""visiting-bring-pet"",""visiting-ie"",""visiting-eu"",""visiting-row"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
